trial,examine,finalist,sla,depl_cat,depl_5th_ptile,depl_median,landing_median
GP12A,,,2,rescaled,0.881,0.9,0.71
GP12B,,,2,rescaled,0.706,0.749,0.77
GP13A,,,2,rescaled,0.879,0.893,1.62
GP13B,,,2,rescaled,0.699,0.744,1.78
GP13C,TRUE,TRUE,2,rescaled,0.464,0.533,1.59
GP14A,,,2,rescaled,0.876,0.889,1.82
GP14B,,,2,rescaled,0.679,0.722,1.97
GI01A,,,2,rescaled,0.876,0.889,1.82
GI01B,,,2,rescaled,0.679,0.722,1.97
GI01C,TRUE,TRUE,2,rescaled,0.457,0.513,1.64
GI01D,,,2,rescaled,0.693,0.728,2.07
GI02A,,,2,rescaled,0.873,0.892,1.78
GI02B,TRUE,TRUE,2,rescaled,0.632,0.686,1.89
GI02D,,,2,rescaled,0.653,0.702,1.98
GI03A,,,2,rescaled,0.872,0.89,1.77
GI03B,,,2,rescaled,0.664,0.706,1.95
GI04A,,,2,rescaled,0.875,0.89,1.65
GI04B,,,2,rescaled,0.71,0.744,2.09
GI05A,,,2,rescaled,0.877,0.892,1.6
GI05B,,,2,rescaled,0.736,0.77,2.06
